codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,total_recomendacoes,ocorrencia_dia_hora,regiao
79003,79003,INCIDENTE,BRAGANÇA PAULISTA,SP,NA,0,2019-11-07 15:10:00,SUDESTE
79004,79004,INCIDENTE,VILA BELA DA SANTÍSSIMA TRINDADE,MT,NA,0,2019-11-07 18:05:00,CENTRO
79005,79005,INCIDENTE,BRASÍLIA,DF,NA,0,2019-11-10 21:34:00,CENTRO
79006,79006,INCIDENTE,RIBEIRÃO PRETO,SP,NA,0,2019-11-11 15:30:00,SUDESTE
78831,78831,ACIDENTE,SANTARÉM,PA,NA,0,2019-11-12 18:30:00,NORTE
78832,78832,ACIDENTE,MARAÚ,BA,SIRI,0,2019-11-14 17:17:00,NORTEDESTE
79007,79007,INCIDENTE,PORTO ALEGRE,RS,NA,0,2019-11-14 20:00:00,SUL
79008,79008,INCIDENTE,LONDRINA,PR,NA,0,2019-11-14 20:45:00,SUL
79009,79009,INCIDENTE,FLORIANÓPOLIS,SC,NA,0,2019-11-15 14:50:00,SUL
79010,79010,INCIDENTE,CAMPINAS,SP,NA,0,2019-11-15 04:37:00,SUDESTE
78834,78834,ACIDENTE,CASCAVEL,PR,NA,0,2019-11-17 20:30:00,SUL
79104,79104,ACIDENTE,ELIAS FAUSTO,SP,NA,0,2019-11-17 15:45:00,SUDESTE
79011,79011,INCIDENTE,RECIFE,PE,SBRF,0,2019-11-20 23:47:00,NORTEDESTE
79012,79012,INCIDENTE,PICOS,PI,SNPC,0,2019-11-20 16:45:00,NORTEDESTE
78833,78833,ACIDENTE,SÃO PAULO,SP,SBMT,0,2019-11-21 14:30:00,SUDESTE
79013,79013,INCIDENTE,LUCAS DO RIO VERDE,MT,SILC,0,2019-11-22 08:30:00,CENTRO
79014,79014,INCIDENTE,CAMPINAS,SP,NA,0,2019-11-23 03:27:00,SUDESTE
79015,79015,INCIDENTE,LONDRINA,PR,NA,0,2019-11-23 16:14:00,SUL
79016,79016,INCIDENTE,MACEIÓ,AL,NA,0,2019-11-24 10:42:00,NORTEDESTE
79017,79017,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,NA,0,2019-11-24 11:20:00,SUDESTE
78835,78835,ACIDENTE,MANAUS,AM,SWFN,0,2019-11-25 18:53:00,NORTE
78836,78836,ACIDENTE,PENÁPOLIS,SP,NA,1,2019-11-25 09:40:00,SUDESTE
79018,79018,INCIDENTE,CAMPINAS,SP,NA,0,2019-11-26 18:08:00,SUDESTE
78837,78837,ACIDENTE,CLÁUDIA,MT,NA,0,2019-11-27 12:30:00,CENTRO
79019,79019,INCIDENTE,PALMAS,TO,SBPJ,0,2019-11-27 14:20:00,NORTE
78838,78838,ACIDENTE,SANTA MARGARIDA DO SUL,RS,NA,0,2019-11-28 07:30:00,SUL
79020,79020,INCIDENTE,PORTO ALEGRE,RS,NA,0,2019-11-28 13:35:00,SUL
78839,78839,ACIDENTE,GUARARAPES,SP,SDGR,0,2019-11-29 21:55:00,SUDESTE
